"grantee1","latlong1","grantee2","latlong2","seconds","miles"
"Around the Sound LLC","47.2312078+-122.4659419","Asotin County Public Transportation Benefit Area","46.4188573+-117.0680059",19079,324.850373816909
"Around the Sound LLC","47.2312078+-122.4659419","Ben Franklin Transit","46.239185+-119.240989",13152,220.862040682415
"Around the Sound LLC","47.2312078+-122.4659419","Catholic Community Services of Snohomish County","47.98164+-122.2032403",4112,62.9430376600652
"Around the Sound LLC","47.2312078+-122.4659419","Catholic Community Services of Western Washington (King County)","47.601159+-122.3016677",2521,34.7439702139505
"Around the Sound LLC","47.2312078+-122.4659419","Catholic Community Services of Western Washington (Pierce County)","47.2496766+-122.4463095",415,2.1120406824147
"Around the Sound LLC","47.2312078+-122.4659419","Catholic Community Services of Western Washington (Thurston County)","47.2496766+-122.4463095",415,2.1120406824147
"Around the Sound LLC","47.2312078+-122.4659419","Chelan-Douglas PTBA (Link)","47.467059+-120.326368",9817,159.244387775392
"Around the Sound LLC","47.2312078+-122.4659419","City of Ellensburg","46.997139+-120.5429167",7315,121.289792611151
"Around the Sound LLC","47.2312078+-122.4659419","City of Longview","46.1189275+-122.9470869",5951,99.8910114928816
"Around the Sound LLC","47.2312078+-122.4659419","City of Pullman","46.7358473+-117.1898316",17416,298.713015986638
"Around the Sound LLC","47.2312078+-122.4659419","City of Yakima","46.6146036+-120.5399701",9103,156.233844349002
"Around the Sound LLC","47.2312078+-122.4659419","Clallam County Public Transportation Benefit Area","48.1101329+-123.4625169",7386,106.513585659747
"Around the Sound LLC","47.2312078+-122.4659419","Coastal Community Action Program","46.9751055+-123.8181052",4877,76.1943997057186
"Around the Sound LLC","47.2312078+-122.4659419","Columbia County Transit Authority","46.3135282+-117.9896769",17066,284.397245088682
"Around the Sound LLC","47.2312078+-122.4659419","Community Action of Skagit County","48.4408499+-122.3360986",5914,96.606443370715
"Around the Sound LLC","47.2312078+-122.4659419","Community Transit","47.935911+-122.252329",4019,61.9034836554522
"Around the Sound LLC","47.2312078+-122.4659419","Council on Aging & Human Services, Inc.","46.8795917+-117.3649728",16328,283.914439672314
"Around the Sound LLC","47.2312078+-122.4659419","Cowlitz Indian Tribe","46.135192+-122.9327984",5795,95.3630796150481
"Around the Sound LLC","47.2312078+-122.4659419","ECHHO - Ecumenical Christian Helping Hands Organization","48.1150606+-122.7602944",5670,78.2188270500278
"Around the Sound LLC","47.2312078+-122.4659419","Entiat Valley Community Services (EVCS)","47.6755363+-120.2099281",10885,174.953894257536
"Around the Sound LLC","47.2312078+-122.4659419","Entrust Community Services","46.594791+-120.5223518",9343,157.566064185159
"Around the Sound LLC","47.2312078+-122.4659419","Everett Transit","47.9747952+-122.1934996",4007,62.3098604151754
"Around the Sound LLC","47.2312078+-122.4659419","Garfield County Transportation Authority","46.4744087+-117.5982103",17296,289.789504294918
"Around the Sound LLC","47.2312078+-122.4659419","Grant Transit Authority","47.1284982+-119.2769928",10936,191.051757734829
"Around the Sound LLC","47.2312078+-122.4659419","Grays Harbor Transportation Authority","46.9717268+-123.8552435",5151,78.3176250695936
"Around the Sound LLC","47.2312078+-122.4659419","Hopelink","47.6101989+-122.1414751",2671,37.3468941382327
"Around the Sound LLC","47.2312078+-122.4659419","HopeSource","46.9842027+-120.5386228",7404,123.548476894934
"Around the Sound LLC","47.2312078+-122.4659419","Human Services Council, Inc.","45.6214691+-122.5365338",7982,136.130622166547
"Around the Sound LLC","47.2312078+-122.4659419","Island County Public Transportation Benefit Area Corporation","48.2084833+-122.641684",7894,88.0321422890321
"Around the Sound LLC","47.2312078+-122.4659419","Jamestown S'Klallam Tribe","48.0254542+-122.9962656",5449,82.1322228187386
"Around the Sound LLC","47.2312078+-122.4659419","Jefferson Transit Authority","48.0505321+-122.8185547",5013,72.4406963334129
"Around the Sound LLC","47.2312078+-122.4659419","Kalispel Indian Community of the Kalispel Reservation","48.3454559+-117.2718961",20132,347.698813926668
"Around the Sound LLC","47.2312078+-122.4659419","King County Metro Transit","47.5990865+-122.3313145",2474,33.677075876879
"Around the Sound LLC","47.2312078+-122.4659419","Kitsap County Public Transportation Benefit Area Authority","47.5632656+-122.6247445",2447,32.3765459715263
"Around the Sound LLC","47.2312078+-122.4659419","Klickitat County Senior Services","45.821592+-120.8236469",13300,224.892875606458
"Around the Sound LLC","47.2312078+-122.4659419","Lewis Public Transportation Benefit Area","46.7146295+-122.952936",3415,51.7782400779448
"Around the Sound LLC","47.2312078+-122.4659419","Lower Columbia Community Action Council, Inc.","46.1402368+-122.9326816",5724,94.3334675495109
"Around the Sound LLC","47.2312078+-122.4659419","Lower Elwha Klallam Tribe","48.1273148+-123.5426088",7829,111.149014753838
"Around the Sound LLC","47.2312078+-122.4659419","Lummi Tribe of the Lummi Reservation","48.7920179+-122.6261531",8200,134.646166388292
"Around the Sound LLC","47.2312078+-122.4659419","Makah Tribal Council","48.3648679+-124.6138052",13133,174.354271057027
"Around the Sound LLC","47.2312078+-122.4659419","Mason County Public Transportation Benefit Area","47.2406378+-123.1010602",3414,51.3967181659111
"Around the Sound LLC","47.2312078+-122.4659419","Mid-Columbia Economic Development District (MCEDD)","45.5999847+-121.1787727",12269,217.023830827965
"Around the Sound LLC","47.2312078+-122.4659419","Mt. Si Senior Center","47.4928162+-121.7885425",3026,43.6382774596357
"Around the Sound LLC","47.2312078+-122.4659419","Northshore Senior Center","47.7560448+-122.2026247",3242,47.7790950847053
"Around the Sound LLC","47.2312078+-122.4659419","Okanogan County Transit Authority","48.3626993+-119.5817291",15318,243.739063867017
"Around the Sound LLC","47.2312078+-122.4659419","Okanogan County Transportation & Nutrition","48.3626993+-119.5817291",15318,243.739063867017
"Around the Sound LLC","47.2312078+-122.4659419","Olympic Community Action Programs (OlyCAP)","48.105573+-122.80489",5373,76.0663972401177
"Around the Sound LLC","47.2312078+-122.4659419","Pacific County Public Transportation Benefit Area","46.6849881+-123.7348418",6122,91.5584238049789
"Around the Sound LLC","47.2312078+-122.4659419","People For People","46.6040141+-120.5146606",9155,156.007043863835
"Around the Sound LLC","47.2312078+-122.4659419","Pierce County Human Services","47.2499232+-122.4433833",471,2.28043227551102
"Around the Sound LLC","47.2312078+-122.4659419","Pierce Transit","47.1709133+-122.4844693",729,6.14536109122723
"Around the Sound LLC","47.2312078+-122.4659419","Puget Sound Educational Service District","47.4725062+-122.2346646",1848,24.699504891434
"Around the Sound LLC","47.2312078+-122.4659419","Rural Resources Community Action","48.5358622+-117.9056307",20880,333.584988666189
"Around the Sound LLC","47.2312078+-122.4659419","San Juan County","48.5353048+-123.0194257",13527,137.159612860892
"Around the Sound LLC","47.2312078+-122.4659419","Sauk-Suiattle Indian Tribe","48.3200381+-121.5529776",7483,114.045847252048
