"grantee_origin","lat_origin","long_origin","grantee_destination","lat_destination","long_destination","miles","minutes"
"Around the Sound LLC",47.2312078,-122.4659419,"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,324.850373816909,318
"Around the Sound LLC",47.2312078,-122.4659419,"Ben Franklin Transit",46.239185,-119.240989,220.862040682415,220
"Around the Sound LLC",47.2312078,-122.4659419,"Catholic Community Services of Snohomish County",47.98164,-122.2032403,62.9430376600652,69
"Around the Sound LLC",47.2312078,-122.4659419,"Catholic Community Services of Western Washington (King County)",47.601159,-122.3016677,34.7439702139505,43
"Around the Sound LLC",47.2312078,-122.4659419,"Catholic Community Services of Western Washington (Pierce County)",47.2496766,-122.4463095,2.1120406824147,7
"Around the Sound LLC",47.2312078,-122.4659419,"Catholic Community Services of Western Washington (Thurston County)",47.2496766,-122.4463095,2.1120406824147,7
"Around the Sound LLC",47.2312078,-122.4659419,"Chelan-Douglas PTBA (Link)",47.467059,-120.326368,159.244387775392,164
"Around the Sound LLC",47.2312078,-122.4659419,"City of Ellensburg",46.997139,-120.5429167,121.289792611151,122
"Around the Sound LLC",47.2312078,-122.4659419,"City of Longview",46.1189275,-122.9470869,99.8910114928816,100
"Around the Sound LLC",47.2312078,-122.4659419,"City of Pullman",46.7358473,-117.1898316,298.713015986638,291
"Around the Sound LLC",47.2312078,-122.4659419,"City of Yakima",46.6146036,-120.5399701,156.233844349002,152
"Around the Sound LLC",47.2312078,-122.4659419,"Clallam County Public Transportation Benefit Area",48.1101329,-123.4625169,106.513585659747,124
"Around the Sound LLC",47.2312078,-122.4659419,"Coastal Community Action Program",46.9751055,-123.8181052,76.1943997057186,82
"Around the Sound LLC",47.2312078,-122.4659419,"Columbia County Transit Authority",46.3135282,-117.9896769,284.397245088682,285
"Around the Sound LLC",47.2312078,-122.4659419,"Community Action of Skagit County",48.4408499,-122.3360986,96.606443370715,99
"Around the Sound LLC",47.2312078,-122.4659419,"Community Transit",47.935911,-122.252329,61.9034836554522,67
"Around the Sound LLC",47.2312078,-122.4659419,"Council on Aging & Human Services, Inc.",46.8795917,-117.3649728,283.914439672314,273
"Around the Sound LLC",47.2312078,-122.4659419,"Cowlitz Indian Tribe",46.135192,-122.9327984,95.3630796150481,97
"Around the Sound LLC",47.2312078,-122.4659419,"ECHHO - Ecumenical Christian Helping Hands Organization",48.1150606,-122.7602944,78.2188270500278,95
"Around the Sound LLC",47.2312078,-122.4659419,"Entiat Valley Community Services (EVCS)",47.6755363,-120.2099281,174.953894257536,182
"Around the Sound LLC",47.2312078,-122.4659419,"Entrust Community Services",46.594791,-120.5223518,157.566064185159,156
"Around the Sound LLC",47.2312078,-122.4659419,"Everett Transit",47.9747952,-122.1934996,62.3098604151754,67
"Around the Sound LLC",47.2312078,-122.4659419,"Garfield County Transportation Authority",46.4744087,-117.5982103,289.789504294918,289
"Around the Sound LLC",47.2312078,-122.4659419,"Grant Transit Authority",47.1284982,-119.2769928,191.051757734829,183
"Around the Sound LLC",47.2312078,-122.4659419,"Grays Harbor Transportation Authority",46.9717268,-123.8552435,78.3176250695936,86
"Around the Sound LLC",47.2312078,-122.4659419,"Hopelink",47.6101989,-122.1414751,37.3468941382327,45
"Around the Sound LLC",47.2312078,-122.4659419,"HopeSource",46.9842027,-120.5386228,123.548476894934,124
"Around the Sound LLC",47.2312078,-122.4659419,"Human Services Council, Inc.",45.6214691,-122.5365338,136.130622166547,134
"Around the Sound LLC",47.2312078,-122.4659419,"Island County Public Transportation Benefit Area Corporation",48.2084833,-122.641684,88.0321422890321,132
"Around the Sound LLC",47.2312078,-122.4659419,"Jamestown S'Klallam Tribe",48.0254542,-122.9962656,82.1322228187386,91
"Around the Sound LLC",47.2312078,-122.4659419,"Jefferson Transit Authority",48.0505321,-122.8185547,72.4406963334129,84
"Around the Sound LLC",47.2312078,-122.4659419,"Kalispel Indian Community of the Kalispel Reservation",48.3454559,-117.2718961,347.698813926668,336
"Around the Sound LLC",47.2312078,-122.4659419,"King County Metro Transit",47.5990865,-122.3313145,33.677075876879,42
"Around the Sound LLC",47.2312078,-122.4659419,"Kitsap County Public Transportation Benefit Area Authority",47.5632656,-122.6247445,32.3765459715263,41
"Around the Sound LLC",47.2312078,-122.4659419,"Klickitat County Senior Services",45.821592,-120.8236469,224.892875606458,222
"Around the Sound LLC",47.2312078,-122.4659419,"Lewis Public Transportation Benefit Area",46.7146295,-122.952936,51.7782400779448,57
"Around the Sound LLC",47.2312078,-122.4659419,"Lower Columbia Community Action Council, Inc.",46.1402368,-122.9326816,94.3334675495109,96
"Around the Sound LLC",47.2312078,-122.4659419,"Lower Elwha Klallam Tribe",48.1273148,-123.5426088,111.149014753838,131
"Around the Sound LLC",47.2312078,-122.4659419,"Lummi Tribe of the Lummi Reservation",48.7920179,-122.6261531,134.646166388292,137
"Around the Sound LLC",47.2312078,-122.4659419,"Makah Tribal Council",48.3648679,-124.6138052,174.354271057027,219
"Around the Sound LLC",47.2312078,-122.4659419,"Mason County Public Transportation Benefit Area",47.2406378,-123.1010602,51.3967181659111,57
"Around the Sound LLC",47.2312078,-122.4659419,"Mid-Columbia Economic Development District (MCEDD)",45.5999847,-121.1787727,217.023830827965,205
"Around the Sound LLC",47.2312078,-122.4659419,"Mt. Si Senior Center",47.4928162,-121.7885425,43.6382774596357,51
"Around the Sound LLC",47.2312078,-122.4659419,"Northshore Senior Center",47.7560448,-122.2026247,47.7790950847053,55
"Around the Sound LLC",47.2312078,-122.4659419,"Okanogan County Transit Authority",48.3626993,-119.5817291,243.739063867017,256
"Around the Sound LLC",47.2312078,-122.4659419,"Okanogan County Transportation & Nutrition",48.3626993,-119.5817291,243.739063867017,256
"Around the Sound LLC",47.2312078,-122.4659419,"Olympic Community Action Programs (OlyCAP)",48.105573,-122.80489,76.0663972401177,90
"Around the Sound LLC",47.2312078,-122.4659419,"Pacific County Public Transportation Benefit Area",46.6849881,-123.7348418,91.5584238049789,103
"Around the Sound LLC",47.2312078,-122.4659419,"People For People",46.6040141,-120.5146606,156.007043863835,153
"Around the Sound LLC",47.2312078,-122.4659419,"Pierce County Human Services",47.2499232,-122.4433833,2.28043227551102,8
"Around the Sound LLC",47.2312078,-122.4659419,"Pierce Transit",47.1709133,-122.4844693,6.14536109122723,13
"Around the Sound LLC",47.2312078,-122.4659419,"Puget Sound Educational Service District",47.4725062,-122.2346646,24.699504891434,31
"Around the Sound LLC",47.2312078,-122.4659419,"Rural Resources Community Action",48.5358622,-117.9056307,333.584988666189,348
"Around the Sound LLC",47.2312078,-122.4659419,"San Juan County",48.5353048,-123.0194257,137.159612860892,226
"Around the Sound LLC",47.2312078,-122.4659419,"Sauk-Suiattle Indian Tribe",48.3200381,-121.5529776,114.045847252048,125
"Around the Sound LLC",47.2312078,-122.4659419,"Senior Services of Snohomish County",47.8203422,-122.3014052,50.0974310029428,58
"Around the Sound LLC",47.2312078,-122.4659419,"Skagit Transit System",48.4806171,-122.3316855,100.070587767438,101
"Around the Sound LLC",47.2312078,-122.4659419,"Skamania County Senior Services",45.6923108,-121.8940865,173.276192038495,173
"Around the Sound LLC",47.2312078,-122.4659419,"Snohomish County Workforce Development Council",47.8763418,-122.2452246,54.6794221745009,63
"Around the Sound LLC",47.2312078,-122.4659419,"Sound Generations",47.6136836,-122.3444571,36.9485952040086,45
"Around the Sound LLC",47.2312078,-122.4659419,"Special Mobility Services, Inc.",45.5259917,-122.644411,142.492220432673,139
"Around the Sound LLC",47.2312078,-122.4659419,"Spokane Transit Authority",47.6683727,-117.430667,292.96471108725,270
"Around the Sound LLC",47.2312078,-122.4659419,"Spokane Tribe of Indians",47.886156,-117.9894493,306.555963175058,298
"Around the Sound LLC",47.2312078,-122.4659419,"Squaxin Island Tribe",47.1217757,-123.0803069,41.9251570826374,47
"Around the Sound LLC",47.2312078,-122.4659419,"The Arc of Tri-Cities",46.2346178,-119.2292752,221.351681181898,220
"Around the Sound LLC",47.2312078,-122.4659419,"Thurston County Public Benefit Transportation Area (Intercity Transit)",47.044311,-122.8574776,25.9845005169808,31
"Around the Sound LLC",47.2312078,-122.4659419,"Thurston Regional Planning Council",47.0278081,-122.9202783,29.9805386542591,35
"Around the Sound LLC",47.2312078,-122.4659419,"Tri County Economic Development District",48.5357394,-117.9070033,333.619785452955,349
"Around the Sound LLC",47.2312078,-122.4659419,"United Way of Pierce County",47.2490399,-122.4371755,2.4432315278772,9
"Around the Sound LLC",47.2312078,-122.4659419,"Valley Transit",46.0593099,-118.362419,274.08186192635,272
"Around the Sound LLC",47.2312078,-122.4659419,"Wahkiakum County Health and Human Services",46.2152416,-123.3875323,119.856910641852,128
"Around the Sound LLC",47.2312078,-122.4659419,"Whatcom Council of Governments",48.749823,-122.4734545,122.280258291577,123
"Around the Sound LLC",47.2312078,-122.4659419,"White Pass Community Services Coalition  (WPCSC)",46.5577544,-122.2741656,59.6131094408653,83
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Around the Sound LLC",47.2312078,-122.4659419,325.891791935099,322
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Ben Franklin Transit",46.239185,-119.240989,132.766518531774,144
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Catholic Community Services of Snohomish County",47.98164,-122.2032403,334.627649526764,327
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Catholic Community Services of Western Washington (King County)",47.601159,-122.3016677,311.254150759564,305
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Catholic Community Services of Western Washington (Pierce County)",47.2496766,-122.4463095,325.444404676688,322
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Catholic Community Services of Western Washington (Thurston County)",47.2496766,-122.4463095,325.444404676688,322
